filename,last_update_time,success,process_time,retry_count
poorstock_6613_朋億.md,2025-09-08 03:55:55,True,2025-09-08 03:55:55,3
poorstock_6669_緯穎.md,2025-09-08 03:56:13,True,2025-09-08 03:56:13,3
poorstock_6690_安碁資訊.md,2025-09-08 03:56:30,True,2025-09-08 03:56:30,3
poorstock_6695_芯鼎.md,2025-09-08 03:56:46,True,2025-09-08 03:56:46,3
poorstock_6699_奇邑.md,FAILED,False,2025-11-14 08:59:52,3
poorstock_6720_久昌.md,2025-09-08 03:57:03,True,2025-09-08 03:57:03,3
poorstock_6751_智聯服務.md,2025-09-03 10:41:51,True,2025-09-03 10:41:51,0
poorstock_6757_台灣虎航.md,2025-09-08 03:57:19,True,2025-09-08 03:57:19,3
poorstock_6763_綠界科技.md,2025-09-03 10:42:13,True,2025-09-03 10:42:13,0
poorstock_6811_宏碁資訊.md,2025-09-03 10:42:24,True,2025-09-03 10:42:24,0
poorstock_6850_光鼎生技.md,FAILED,False,2025-11-14 09:02:39,3
poorstock_6902_GOGOLOOK.md,2025-09-03 10:42:46,True,2025-09-03 10:42:46,0
poorstock_6918_愛派司.md,2025-09-08 03:57:35,True,2025-09-08 03:57:35,3
poorstock_6925_意藍.md,2025-09-08 03:57:51,True,2025-09-08 03:57:51,3
poorstock_6962_奕力-KY.md,2025-09-03 10:43:19,True,2025-09-03 10:43:19,0
poorstock_6996_力領科技.md,2025-09-08 03:58:09,True,2025-09-08 03:58:09,3
poorstock_6997_博弘.md,2025-09-08 03:58:26,True,2025-09-08 03:58:26,3
poorstock_7547_碩網.md,2025-09-08 03:58:42,True,2025-09-08 03:58:42,3
poorstock_7703_銳澤.md,2025-09-08 03:59:01,True,2025-09-08 03:59:01,3
poorstock_7704_明遠精密.md,2025-09-03 10:44:14,True,2025-09-03 10:44:14,0
poorstock_7705_三商餐飲.md,2025-09-03 10:44:25,True,2025-09-03 10:44:25,0
poorstock_7708_全家餐飲.md,2025-09-08 03:59:16,True,2025-09-08 03:59:16,3
poorstock_7709_榮田.md,2025-09-08 03:59:33,True,2025-09-08 03:59:33,3
poorstock_7712_博盛半導體.md,2025-09-08 03:59:50,True,2025-09-08 03:59:50,3
poorstock_7713_威力德生醫.md,2025-09-08 04:00:07,True,2025-09-08 04:00:07,3
poorstock_7722_LINEPAY.md,2025-09-08 04:00:23,True,2025-09-08 04:00:23,3
poorstock_7728_光焱科技.md,2025-09-08 04:00:41,True,2025-09-08 04:00:41,3
poorstock_7732_金興精密.md,2025-09-03 10:45:42,True,2025-09-03 10:45:42,0
poorstock_7734_印能科技.md,2025-09-03 10:45:53,True,2025-09-03 10:45:53,0
poorstock_7736_虎山.md,2025-09-03 10:46:05,True,2025-09-03 10:46:05,0
poorstock_7737_凱鈿.md,FAILED,False,2025-11-14 09:05:29,3
poorstock_7747_昕奇雲端.md,FAILED,False,2025-11-14 08:29:14,3
poorstock_7749_意騰-KY.md,2025-09-03 10:46:38,True,2025-09-03 10:46:38,0
poorstock_7765_中華資安.md,2025-11-02 08:24:40,True,2025-11-02 08:24:40,3
poorstock_7769_鴻勁.md,FAILED,False,2025-11-14 09:08:16,3
poorstock_7794_宏碁智新.md,FAILED,False,2025-11-14 09:11:01,3
poorstock_7805_威聯通.md,FAILED,False,2025-11-14 09:13:52,3
poorstock_8016_矽創.md,2025-09-08 04:02:06,True,2025-09-08 04:02:06,3
poorstock_8045_達運光電.md,2025-09-03 10:47:44,True,2025-09-03 10:47:44,0
poorstock_8272_全景軟體.md,2025-09-03 10:47:55,True,2025-09-03 10:47:55,0
poorstock_8299_群聯.md,2025-09-03 10:48:06,True,2025-09-03 10:48:06,0
poorstock_8454_富邦媒.md,2025-09-08 04:02:22,True,2025-09-08 04:02:22,3
poorstock_9914_美利達.md,2025-09-08 04:02:39,True,2025-09-08 04:02:39,3
poorstock_9917_中保科.md,2025-09-08 04:02:55,True,2025-09-08 04:02:55,3
poorstock_9921_巨大.md,2025-09-08 04:03:13,True,2025-09-08 04:03:13,3
